,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
82,Sunset Blvd.,1950,Passed,110 min,8.4,,Billy Wilder,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,The Great Dictator,1940,Passed,125 min,8.4,,Charles Chaplin,"288,475",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,1917,2019,R,119 min,8.3,78.0,Sam Mendes,"159,227,644",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,Tumbbad,2018,A,104 min,8.3,,Rahi Anil Barve,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
86,Andhadhun,2018,UA,139 min,8.3,,Sriram Raghavan,"1,373,943",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,Drishyam,2013,U,160 min,8.3,,Jeethu Joseph,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,Jagten,2012,R,115 min,8.3,77.0,Thomas Vinterberg,"687,185",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Jodaeiye Nader az Simin,2011,PG-13,123 min,8.3,95.0,Asghar Farhadi,"7,098,492",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Incendies,2010,R,131 min,8.3,80.0,Denis Villeneuve,"6,857,096",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91,Miracle in cell NO.7,2019,TV-14,132 min,8.3,,Mehmet Ada Öztekin,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Babam ve Oglum,2005,,112 min,8.3,,Çagan Irmak,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
